start_target,start_arctic,goal,step_count,steps_out,reward,info,leader_reward,leader_steps,stop_count,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",84,2,76.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",66,80,1,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",97,16,60.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",65,80,1,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",89,8,46.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",67,77,0,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",86,5,66.0,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",63,78,2,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",90,13,35.0,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,78,2,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",84,2,74.0,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,77,1,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",86,6,57.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,76,0,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",99,18,61.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",78,81,4,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",81,4,70.0,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,76,0,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",86,4,75.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,80,4,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",98,22,49.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",77,77,1,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",88,12,55.5,"{'mission_status': 'success', 'agent_status': 'finished', 'leader_status': 'finished'}",77,77,0,
"[12, 0, 1.0]","[0, 0, 0.5]","[50.0, -40.0]",94,15,60.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",77,77,0,
"[12, 0, 1.0]","[0, 0, 0.5]","[30.0, -50.0]",36,0,33.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",22,36,14,
"[12, 0, 1.0]","[0, 0, 0.5]","[30.0, -50.0]",57,2,50.0,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",43,57,14,
"[12, 0, 1.0]","[0, 0, 0.5]","[30.0, -50.0]",75,5,12.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",47,75,28,
"[12, 0, 1.0]","[0, 0, 0.5]","[30.0, -50.0]",48,23,-0.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",23,48,25,
"[12, 0, 1.0]","[0, 0, 0.5]","[30.0, -50.0]",69,5,-10.5,"{'mission_status': 'safety system end', 'agent_status': 'moving', 'leader_status': 'None'}",48,69,21,
